0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
A1,A2,B1,B2,B3,C1,C2,C3,BC1,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,H3,H4,H5
0,0,0,0,0,0,0,25,0,26,51,0,0,0,0,1,0,97,56,0,0,41
